"initiative_id","spot_counts","active_spots","station_list","ordered_impressions","delivered_impressions"
"1cee16cd-a06a-450e-99ac-9a0d1f2b0424",1702,1702,"KQXT-F3, KAJA-FM, WOAI-AM, KXXM-FM, KQXT-FM, KZEP-FM",387333288,387333288
a8bf5f45-67ac-4799-b19c-f3b454fbd955,68,68,WCOS-FM,4968620.0,4968620.0
c1bcc9c9-121b-4c9c-8411-1eb61db40faf,111,111,"WARF-AM, WAKS-F2, WAKS-FM, WTAM-AM, WMJI-FM, WGAR-FM, WMMS-FM",6056923.0,6056923.0
"08ef350c-1c3c-47cd-897a-1154df1b07e3",564,564,"WAKS-FM, WHLK-FM, WMMS-FM, WARF-AM, WMJI-FM, WGAR-FM, WAKS-F2, WTAM-AM",43921610,43921610
"10c4ddd6-f399-4bf8-86f3-4eefa39961f5",2248,2248,"WRFQ-FM, WXLY-FM, WYNA-FM, WWWZ-FM, WJJS-FM, WYYD-FM, WMGL-FM, WROV-FM, WSSX-FM, WDAI-FM, WGTR-FM, WSYN-FM, WSTV-FM, WSCC-FM, WRXZ-FM, WWXM-FM, WEZL-FM, WIWF-FM, WLFF-FM, WSEA-FM, WAYS-AM, WLUB-FM, WBBQ-FM, WLQB-FM, WKSP-FM, WPRW-FM, WLUB-F2",124242304,124242304
"4243c8bd-cddc-4c0c-afab-0db45a24a000",497,497,"KMYT-FM, KTMQ-FM, KPWK-AM, KGGI-FM, KQIE-FM, KTIE-AM",81655448,81655448
"66671785-df6b-4eb2-afbf-fda9874da695",1318,1318,"WDAS-FM, KIIS-FM, WLTW-FM, WHTZ-FM, KBIG-FM, WHYI-FM, KDGE-FM, KIOI-FM, WLIT-FM, WIOQ-FM, WXKS-FM, WZLX-FM, WKSC-FM, KHKS-FM, KYLD-FM, WBGG-FM",578039476,578039476
"828291a2-b3bb-4b92-a1a4-34c8bc89c950",1040,1040,"WKTU-FM, WLTW-FM, WHTZ-FM, WAXQ-FM, WWPR-FM, WOR-AM",594722169,594722169
a129cfcf-383a-4e39-a64a-0b996e688020,516,516,"WEND-FM, WLKO-FM, WRFX-FM, WKKT-FM, WNKS-FM, WKQC-FM, WPEG-FM, WSOC-FM, WHQC-FM, WBAV-FM",59916026,59916026
a1474a8c-13f7-4459-9c81-a480e17e4d61,251,251,KISO-FM,10906531,10906531
b9bc44bc-42c1-41b2-a49f-0fb63119d76d,244,244,"WYLD-FM, WYLD-AM, WRNO-FM, WRNO-F2, WNOE-FM, KVDU-FM, WQUE-FM",26787986,26787986
bf688a7f-c881-474f-9286-5aa83628800c,727,727,"KXKL-FM, KRFX-FM, KTCL-FM, KSME-FM, KBPI-FM, KIMN-FM, KYGO-FM, KKFN-FM, KOSI-FM, KXBG-FM",53204544,53204544
d226e2be-1ab8-4639-857d-1eec9b617263,312,312,"KYRV-FM, KSTE-AM, KBEB-FM, KFBK-AM, KSAC-AM",26696950,26696950
